"locus_name","accession","tissue","timepoint","expression_value"
"BRAA07G030470.3C","Col0","apex",12,0.191873155649629
"BRAA07G030470.3C","Col0","apex",13,3.37435946390251
"BRAA07G030470.3C","Col0","apex",14,34.1153281723828
"BRAA07G030470.3C","Col0","apex",15,178.936812309082
"BRAA07G030470.3C","Col0","apex",16,204.279871378998
"BRAA07G034100.3C","Col0","apex",7,0.270487796670725
"BRAA07G034100.3C","Col0","apex",8,0
"BRAA07G034100.3C","Col0","apex",9,0.229006051764798
"BRAA07G034100.3C","Col0","apex",10,0.172617239458853
"BRAA07G034100.3C","Col0","apex",11,0.0701534054231686
"BRAA07G034100.3C","Col0","apex",12,0.191873155649629
"BRAA07G034100.3C","Col0","apex",13,3.37435946390251
"BRAA07G034100.3C","Col0","apex",14,34.1153281723828
"BRAA07G034100.3C","Col0","apex",15,178.936812309082
"BRAA07G034100.3C","Col0","apex",16,204.279871378998
"BRAA03G023790.3C","Col0","apex",7,14.023959051126
"BRAA03G023790.3C","Col0","apex",8,12.1026888387299
"BRAA03G023790.3C","Col0","apex",9,15.8633645783484
"BRAA03G023790.3C","Col0","apex",10,47.0381354278644
"BRAA03G023790.3C","Col0","apex",11,30.9272660282884
"BRAA03G023790.3C","Col0","apex",12,50.4684412908673
"BRAA03G023790.3C","Col0","apex",13,80.0991169527199
"BRAA03G023790.3C","Col0","apex",14,67.4136236842226
"BRAA03G023790.3C","Col0","apex",15,72.9075887467264
"BRAA03G023790.3C","Col0","apex",16,61.7368862452607
"BRAA05G005370.3C","Col0","apex",7,14.023959051126
"BRAA05G005370.3C","Col0","apex",8,12.1026888387299
"BRAA05G005370.3C","Col0","apex",9,15.8633645783484
"BRAA05G005370.3C","Col0","apex",10,47.0381354278644
"BRAA05G005370.3C","Col0","apex",11,30.9272660282884
"BRAA05G005370.3C","Col0","apex",12,50.4684412908673
"BRAA05G005370.3C","Col0","apex",13,80.0991169527199
"BRAA05G005370.3C","Col0","apex",14,67.4136236842226
"BRAA05G005370.3C","Col0","apex",15,72.9075887467264
"BRAA05G005370.3C","Col0","apex",16,61.7368862452607
"BRAA04G005470.3C","Col0","apex",7,0.0370950356205371
"BRAA04G005470.3C","Col0","apex",8,0
"BRAA04G005470.3C","Col0","apex",9,0.135942510885054
"BRAA04G005470.3C","Col0","apex",10,0.138168436371995
"BRAA04G005470.3C","Col0","apex",11,0.144742523007741
"BRAA04G005470.3C","Col0","apex",12,0.0269822692422395
"BRAA04G005470.3C","Col0","apex",13,0.0287379265870059
"BRAA04G005470.3C","Col0","apex",14,1.89356639016441
"BRAA04G005470.3C","Col0","apex",15,108.178314277389
"BRAA04G005470.3C","Col0","apex",16,105.989850411704
"BRAA09G045310.3C","Col0","apex",7,0.0370950356205371
